country,country_code,year,ideology,ideology_se,affect,affect_se,ideology_observed,affect_observed,notes
Algeria,DZA,1985,0.6530008722971637,0.01055191459214602,NA,NA,0,NA,NA
Algeria,DZA,1986,0.6814468121419214,0.01137531787566997,NA,NA,0,NA,NA
Algeria,DZA,1987,0.7326654022658601,0.00865596117666042,NA,NA,0,NA,NA
Algeria,DZA,1988,0.7387456776398859,0.01081826116412535,NA,NA,0,NA,NA
Algeria,DZA,1989,0.6705910664266067,0.01082060070199033,NA,NA,0,NA,NA
Algeria,DZA,1990,0.6566358368590202,0.01231895572268982,NA,NA,0,NA,NA
Algeria,DZA,1991,0.7169113804864045,0.00996223936985934,NA,NA,0,NA,NA
Algeria,DZA,1992,0.7141058734725848,0.00845425829481956,NA,NA,0,NA,NA
Algeria,DZA,1993,0.6111931476238046,0.01550240119295364,NA,NA,0,NA,NA
Algeria,DZA,1994,0.7717193355593389,0.00915760774367729,NA,NA,0,NA,NA
Algeria,DZA,1995,0.6346697731991372,0.01240641649811188,NA,NA,0,NA,NA
Algeria,DZA,1996,0.7489965535846335,0.01341071618706413,NA,NA,0,NA,NA
Algeria,DZA,1997,0.6391877911576297,0.01287353482617933,NA,NA,0,NA,NA
Algeria,DZA,1998,0.6414322884960028,0.01069631951675454,NA,NA,0,NA,NA
Algeria,DZA,1999,0.7173622053858456,0.01003394597181965,NA,NA,0,NA,NA
Algeria,DZA,2000,0.6351157901592479,0.01233220951516422,NA,NA,0,NA,NA
Algeria,DZA,2001,0.6334238750687239,0.01246484929288127,NA,NA,0,NA,NA
Algeria,DZA,2002,0.6364911965176799,0.00999771978275859,NA,NA,1,NA,NA
Algeria,DZA,2003,0.7032258440712006,0.00831559434968549,NA,NA,0,NA,NA
Algeria,DZA,2004,0.6960482930703766,0.0127571661581124,NA,NA,0,NA,NA
Algeria,DZA,2005,0.6874785717641868,0.00866919029229995,NA,NA,0,NA,NA
Algeria,DZA,2006,0.7743303452300463,0.00958437707542255,NA,NA,0,NA,NA
Algeria,DZA,2007,0.6730128918126277,0.01011479928703063,NA,NA,0,NA,NA
Algeria,DZA,2008,0.6264461969443343,0.01118022830538535,NA,NA,0,NA,NA
Algeria,DZA,2009,0.7407744540138077,0.00913359479930502,NA,NA,0,NA,NA
Algeria,DZA,2010,0.7424353715056546,0.01019322854781558,NA,NA,0,NA,NA
Algeria,DZA,2011,0.731532635936057,0.00984947957252451,NA,NA,0,NA,NA
Algeria,DZA,2012,0.6499969123221597,0.01250973253533457,NA,NA,0,NA,NA
Algeria,DZA,2013,0.6215700395014896,0.01111047723652136,NA,NA,0,NA,NA
Algeria,DZA,2014,0.6169085727732002,0.01137090164103506,NA,NA,1,NA,NA
Algeria,DZA,2015,0.6243230990350813,0.01038926753375042,NA,NA,0,NA,NA
Algeria,DZA,2016,0.7114150209205498,0.01237521136421328,NA,NA,0,NA,NA
Algeria,DZA,2017,0.6737715464249515,0.01102958108246488,NA,NA,0,NA,NA
Algeria,DZA,2018,0.6518743280100646,0.01154240570456804,NA,NA,0,NA,NA
Algeria,DZA,2019,0.6380756550257748,0.00851633473635148,NA,NA,0,NA,NA
Argentina,ARG,1971,0.8492221380788691,0.00509089125200366,NA,NA,0,NA,NA
Argentina,ARG,1972,0.6863428559255587,0.00993209682619714,NA,NA,0,NA,NA
Argentina,ARG,1973,0.7620371856238818,0.00947189108714509,NA,NA,0,NA,NA
Argentina,ARG,1974,0.6525717759785193,0.01257595741276219,NA,NA,0,NA,NA
Argentina,ARG,1975,0.7634155125925126,0.00893706962832485,0.8338358864363373,0.00802337641526283,0,0,NA
Argentina,ARG,1976,0.6199340878989399,0.01266974583343018,0.780466216071865,0.00956540212347767,0,0,NA
Argentina,ARG,1977,0.6973089205552285,0.01168868060351321,0.7318954115510706,0.01256576169767412,0,0,NA
Argentina,ARG,1978,0.6861618684632536,0.00795111471903593,0.685646992296001,0.01032858409865615,0,0,NA
Argentina,ARG,1979,0.6013808207384401,0.01239556539750955,0.8029805143428744,0.00891943678171042,0,0,NA
Argentina,ARG,1980,0.7620133331385863,0.008960692141047,0.8426862582651469,0.0072004085734851,0,0,NA
Argentina,ARG,1981,0.6099082389633159,0.01031671639422566,0.7185926073749207,0.01023841600197646,0,0,NA
Argentina,ARG,1982,0.6828266608794523,0.01315806496204593,0.6661975502096433,0.01055018466988897,0,0,NA
Argentina,ARG,1983,0.7095479581070688,0.01062368267381549,0.6984864601767989,0.00993239862651175,0,0,NA
Argentina,ARG,1984,0.6140271421292915,0.02950855370832023,0.7778970039218334,0.01051615752524177,1,0,NA
Argentina,ARG,1985,0.6820562631851704,0.01066426242257595,0.6721275457085641,0.00992474839382999,0,0,NA
Argentina,ARG,1986,0.7167208500149188,0.00962884506676537,0.9193261107548076,0.00347129463335929,0,0,NA
Argentina,ARG,1987,0.6741143404470037,0.01044529593967478,0.6452547398322905,0.00997284467990412,0,0,NA
Argentina,ARG,1988,0.68038047865807,0.01464760526743466,0.7226228755239053,0.01065142607787557,0,0,NA
Argentina,ARG,1989,0.6564740241851965,0.01083731610567298,0.6784154059733692,0.01161495654217422,0,0,NA
Argentina,ARG,1990,0.67034117042229,0.00927082764142996,0.7054835352168568,0.01035309875032351,0,0,NA
Argentina,ARG,1991,0.6163293838188727,0.01192505667725542,0.6396496361250446,0.01047023941208568,1,0,NA
Argentina,ARG,1992,0.7002609887800624,0.00992292242374941,0.8780031457186261,0.0061252237120454,0,0,NA
Argentina,ARG,1993,0.6589916990340976,0.01244344629871009,0.6616335633072873,0.00989448791098116,0,0,NA
Argentina,ARG,1994,0.7233179952971048,0.01020790691562209,0.7888829425218844,0.00882661284199562,0,0,NA
Argentina,ARG,1995,0.6005058378344251,0.01334349884580307,0.7165891031054428,0.00950134375933547,1,0,NA
Argentina,ARG,1996,0.6107481872021665,0.01001084499860297,0.7484784225815762,0.00918703952602821,1,0,NA
Argentina,ARG,1997,0.6359273564768209,0.01002067642029427,0.8272667267555133,0.00667911637044832,1,0,NA
Argentina,ARG,1998,0.6045037947676956,0.01157557861912039,0.644758620877142,0.00924305928717904,1,0,NA
Argentina,ARG,1999,0.6578481564681973,0.00986320455579471,0.716325852155662,0.01095640118505747,1,0,NA
Argentina,ARG,2000,0.6340962112057793,0.01075945407832986,0.7787101924148294,0.01082701414549249,1,0,NA
Argentina,ARG,2001,0.615313265341821,0.01127659783569425,0.6620158768564197,0.01374710063895146,1,0,NA
Argentina,ARG,2002,0.6249874949374489,0.00991298399536958,0.716259711142964,0.01013092314750017,1,0,NA
Argentina,ARG,2003,0.6546417876948428,0.01036973229608234,0.7371442387843585,0.00931842645175565,1,0,NA
Argentina,ARG,2004,0.6407009149866723,0.01864866260435478,0.6353717288402648,0.01327718128727186,1,0,NA
Argentina,ARG,2005,0.689596593423827,0.00956945497628078,0.6491219467602728,0.01196598439805904,1,0,NA
Argentina,ARG,2006,0.6278803709757045,0.01108877519627352,0.7956394941987551,0.01083579553159722,1,0,NA
Argentina,ARG,2007,0.59547743609075,0.00886868912537053,0.6765940456342732,0.01099524242531871,1,1,NA
Argentina,ARG,2008,0.696460515052054,0.01315592208013431,0.7762227434717386,0.00874936713601093,1,0,NA
Argentina,ARG,2009,0.6156640864442444,0.01186197350963437,0.7398616012175164,0.00863601044813115,1,0,NA
Argentina,ARG,2010,0.6136743699866395,0.00948097396073621,0.9099188439270068,0.00472787112061403,1,0,NA
Argentina,ARG,2011,0.6298980864815011,0.01082373858806843,0.931627492313476,0.01446131645981545,1,0,NA
Argentina,ARG,2012,0.6207750307759325,0.01140279612363076,0.7036272389903641,0.01035703975329298,0,0,NA
Argentina,ARG,2013,0.6446310372919036,0.01095278832112517,0.6941643495397625,0.00972682382651094,1,0,NA
Argentina,ARG,2014,0.6549704464107702,0.01024142502134461,0.8546356508743976,0.00667280664211636,1,0,NA
Argentina,ARG,2015,0.530441246505194,0.04698238823365339,0.6949736796854973,0.00915053680477396,1,1,NA
Argentina,ARG,2016,0.623458290602018,0.00941445721048883,0.7037269609420637,0.00930044671892859,1,0,NA
Argentina,ARG,2017,0.6308173415189916,0.01277469430287581,0.856094456185733,0.00728164951991914,1,0,NA
Argentina,ARG,2018,0.6318756298580318,0.0088691014648966,0.6666511687187227,0.00948642212508369,1,0,NA
Argentina,ARG,2019,0.6062618115279813,0.01114750198041329,0.6624863459810232,0.01048291775911508,0,0,NA
Armenia,ARM,1971,0.775895830795951,0.00835977125584928,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1972,0.6643123503580649,0.0116135994821847,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1973,0.6747349609000346,0.0088198227636578,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1974,0.6109514174363418,0.0095497915054003,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1975,0.7510549803464109,0.00994212322678784,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1976,0.6519420178926287,0.0092972414437142,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1977,0.6457330731967547,0.01216067333318092,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1978,0.7387117443878031,0.00894185693416091,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1979,0.6786433603525792,0.01167988420442801,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1980,0.6518646930564936,0.00956024686347647,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1981,0.6368545022822437,0.01045207237605048,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1982,0.6838982887180138,0.01137422302968486,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1983,0.6107526632960862,0.01002453417829691,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1984,0.681464530789234,0.01059281712821037,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1985,0.6554071834761608,0.00965489977693046,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1986,0.6898831822219978,0.01102997704800635,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1987,0.6708869499192007,0.01062266675106952,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1988,0.694661788740456,0.01316887777454685,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1989,0.7101944331741037,0.00966094647598706,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1990,0.593743022858172,0.01183264098845799,NA,NA,0,NA,Corresponds to Armenian Soviet Socialist Republic
Armenia,ARM,1991,0.7137532523182111,0.00974478327411333,NA,NA,0,NA,NA
Armenia,ARM,1992,0.6796107722749698,0.00945629974887643,NA,NA,1,NA,NA
Armenia,ARM,1993,0.5770688031883546,0.01205872768765128,NA,NA,0,NA,NA
Armenia,ARM,1994,0.731850426775017,0.00945995419530238,NA,NA,0,NA,NA
Armenia,ARM,1995,0.6426732550235578,0.0123108632047352,NA,NA,0,NA,NA
Armenia,ARM,1996,0.6731101408253806,0.00824598560045406,NA,NA,0,NA,NA
Armenia,ARM,1997,0.6086292490095819,0.0106855774442644,NA,NA,1,NA,NA
Armenia,ARM,1998,0.669481836491326,0.01044209711795846,NA,NA,0,NA,NA
Armenia,ARM,1999,0.6539193208736606,0.00919662377264822,NA,NA,0,NA,NA
Armenia,ARM,2000,0.6639033149905226,0.01056613532005511,NA,NA,0,NA,NA
Armenia,ARM,2001,0.702691114182989,0.0132531720028934,NA,NA,0,NA,NA
Armenia,ARM,2002,0.6596415753453966,0.00908979169597416,NA,NA,0,NA,NA
Armenia,ARM,2003,0.8057087594491982,0.00699526187513738,NA,NA,0,NA,NA
Armenia,ARM,2004,0.6320065404737162,0.01168102183860891,NA,NA,0,NA,NA
Armenia,ARM,2005,0.7505682796839152,0.01152800155026888,NA,NA,0,NA,NA
Armenia,ARM,2006,0.6801421733271374,0.00892785703622586,NA,NA,0,NA,NA
Armenia,ARM,2007,0.8115585784044022,0.00707392561579448,NA,NA,0,NA,NA
Armenia,ARM,2008,0.635699357076779,0.01263511255213866,NA,NA,1,NA,NA
Armenia,ARM,2009,0.6054006884134004,0.00934336324987076,NA,NA,0,NA,NA
Armenia,ARM,2010,0.6585891148249982,0.01359077251988132,NA,NA,0,NA,NA
Armenia,ARM,2011,0.6282339253193161,0.00844010751248713,NA,NA,1,NA,NA
Armenia,ARM,2012,0.6238841230049189,0.01174029146632529,NA,NA,0,NA,NA
Armenia,ARM,2013,0.6673696673391877,0.00933029123361565,NA,NA,0,NA,NA
Armenia,ARM,2014,0.6488945969768649,0.01127330749770397,NA,NA,0,NA,NA
Armenia,ARM,2015,0.7342508305493958,0.00947245359991467,NA,NA,0,NA,NA
Armenia,ARM,2016,0.6174196621919672,0.01103715532870249,NA,NA,0,NA,NA
Armenia,ARM,2017,0.6586608501225828,0.01127614885970919,NA,NA,0,NA,NA
Armenia,ARM,2018,0.7472697013158258,0.01504415735215222,NA,NA,1,NA,NA
Armenia,ARM,2019,0.6603571355121944,0.0097546415710264,NA,NA,0,NA,NA
Australia,AUS,1971,0.6796944954133751,0.01183481271257711,NA,NA,0,NA,NA
Australia,AUS,1972,0.6942748054012955,0.01112336314642582,NA,NA,0,NA,NA
Australia,AUS,1973,0.6969521795910312,0.01106393405783167,NA,NA,0,NA,NA
Australia,AUS,1974,0.6331207180986385,0.01085381781666061,NA,NA,0,NA,NA
Australia,AUS,1975,0.6853196938768447,0.01151329653805204,0.719431143231787,0.00919835924502915,0,0,NA
Australia,AUS,1976,0.689670033018932,0.00999979232797877,0.907346265436564,0.00367619430407409,0,0,NA
Australia,AUS,1977,0.6720734456280778,0.00972098544052751,0.7946845694515717,0.00847768672736986,0,0,NA
Australia,AUS,1978,0.6754679571690743,0.01183242154264237,0.68118948243412,0.01007868404538951,0,0,NA
Australia,AUS,1979,0.7115134910555979,0.00915169132369751,0.6402764120192147,0.01098547789166586,0,0,NA
Australia,AUS,1980,0.6942152236069188,0.00958773281275545,0.8671760933476792,0.00524401926191061,0,0,NA
Australia,AUS,1981,0.662403598422347,0.01044271164802395,0.7097620120624516,0.01295591867902358,1,0,NA
Australia,AUS,1982,0.7156436241792553,0.01282879758773454,0.6610133422201864,0.00937684317317604,0,0,NA
Australia,AUS,1983,0.6686024653990701,0.01029025582438062,0.7619207855031358,0.01228556986895433,0,0,NA
Australia,AUS,1984,0.6539181434624819,0.01047610951838897,0.7088227173990534,0.01065665431716066,0,0,NA
Australia,AUS,1985,0.702140022597765,0.01080166966772415,0.6236617179618564,0.01156100772590595,0,0,NA
Australia,AUS,1986,0.6508349416338883,0.01273527092959345,0.9269846440725056,0.00290099190809431,0,0,NA
Australia,AUS,1987,0.675721776120168,0.01051756669536246,0.6718760308722002,0.00994815323686791,1,0,NA
Australia,AUS,1988,0.7170776547689789,0.01012882359602731,0.6526921353768986,0.0110346506963203,0,0,NA
Australia,AUS,1989,0.6512526957120516,0.01103015208283388,0.6735720674009268,0.01124986565421993,0,0,NA
Australia,AUS,1990,0.6696606197967799,0.01024216156708913,0.7591058906286,0.00843480979543558,1,0,NA
